,malformed_label,correct_label
2091,Fort M,Fort McMurray
2092,Alberta,Albertas
2093,Fort M,Fort McMurray
2094,Fort M,Fort McMurray
2095,Fort M,Fort McMurray
2096,Fort M,Fort McMurray
2097,Fort M,Fort McMurray
2098,F. M,Ft. McMurr
2099,Fort M,Fort McMurray
2100,Fort M,Fort McMurray
2101,Fort,FortMcMurray
2102,Fort M,Fort McMurray
2103,Fort M,Fort McMurray
2104,Dick,Dickinsfield
2105,Fort M,Fort McMurray
2106,Calgary,Calgarys
2107,Fort M,Fort McMurray
2108,Fort M,Fort McMurray
2109,Manitoba,Manitobas
2110,Fort M,Fort McMurray
2111,Fort,FortMcMurray
2112,Fort Mac,Fort MacMurray
2113,Fort M,Fort McMurray
2114,Fort,FortMcMurray
2115,Fort M,Fort McMurray
2116,Fort M,Fort McMurray
2117,Fort M,Fort McMurray
2118,Fort,FortMcMurray
2119,Fort M,Fort McMurray
2120,Fort M,Fort McMurray
2121,Fort M,Fort McMurray
2122,Fort M,Fort McMurray
2123,Fort M,Fort McMurray
2124,Fort M,Fort McMurray
2125,Fort M,Fort McMurray
2126,Fort M,Fort McMurray
2127,Fort M,Fort McMurray
2128,Fort,FortMcMurray
2129,Fort M,Fort McMur
2130,Fort M,Fort McMurray
2131,Fort M,Fort McMurray
2132,Fort M,Fort McMurray
2133,Zurich Canada,Zurich Canada
2134,Ft,FtMcMurray
2135,Fort,FortMcMurrays
2136,Fort,FortMcMurray
2137,Fort,FortMcMurray
2138,Fort M,Fort McMurray
2139,Fort M,Fort McMurray
2140,Fort,FortMcMurray
2141,F,Ft. McMurray
2142,Fort M,Fort McMurray
2143,Fort M,Fort McMurray
2144,Fort M,Fort McMurray
2145,Fort M,Fort McMurray
2146,Fort M,Fort McMurray
2147,Fort,FortMcMurray
2148,Fort M,Fort McMurray
2149,Fort,FortMcMurray
2150,Fort M,Fort McMurray
2151,Fort M,Fort McMurray
2152,Alberta,Albertas
2153,Fort M,Fort McMurray
2154,Edmonton,Edmonton Humane Society 13620 - 163 Street
2155,CA,CANADA
2156,Manitoba Ontario,Manitoba Ontario
2157,Fort,FortMcMurray
2158,Fort M,Fort McMurray
2159,Fort M,Fort McMurray
2160,Fort M,Fort McMurray
2161,A,Abasand
2162,CA,CALGARY
2163,Am,Amatrice
2164,A,Arquata del Tronto
2165,Am,Amatrice
2166,Am,Amatrice
2167,Cal,Calabria
2168,Am,Amatrice
2169,So,Sommati
2170,IT,ITALY
2171,P,PescaraDelTronto
2172,Am,Amatrice
2173,Pre,Preci
2174,Am,Amatrice
2175,Am,Amatrice
2176,Am,Amatrice
2177,Italy,Italys
2178,Am,Amatrice
2179,Nor,Norcia
2180,A,Arquata
2181,IT,ITALY
2182,La,Lazio
2183,La,Lazio
2184,Am,Amatrice
2185,it,italy
2186,Am,Amatrice
2187,Am,Amatrice
2188,A,Apennines
2189,it,italy
2190,A,Accumoli
2191,Am,Amatrice
2192,A,Arquata
2193,Um,Umbria
2194,Am,Amatrice
2195,Am,Amatrice
2196,C,Cascia
2197,Pi,Piazza San Francesco
2198,Cas,Cascia
2199,Am,Amatrice
2200,Am,Amatrice
2201,it,italy
2202,Am,Amatrice
2203,Am,Amatrice
2204,IT,ITALY
2205,U,Ueki
2206,Am,Amatrice
2207,A,Accumoli
2208,Am,Amatrice
2209,Am,Amatrice
2210,Am,Amatrice
2211,Peru,Perugia
2212,it,italy
2213,Aqua,Arquata
2214,Am,Amatrice
2215,am,amatrice
2216,IT,ITALY
2217,La,Lazio
2218,Am,Amatrice
2219,sril,srilanka
2220,R,Rieti
2221,Am,Amatrice
2222,Am,Amatrice
2223,Am,Amatrice
2224,Romanian,Romanians
2225,Sa,Saada
2226,Am,Amandola
2227,Am,Amatrice
2228,Am,Amatrice
2229,Am,Amatrice
2230,Am,Amatrice
2231,So,Sommati
2232,Am,Amatrice
2233,Am,Amatrice
2234,Am,Amatrice
2235,La,Lazio
2236,Neos V,Neos Voutzas
2237,Mat,Mati
2238,At,Attica
2239,Mat,Mati
2240,gree,greece
2241,At,Attika
2242,At,Attica
2243,At,Attica
2244,Yun,Yunanistan
2245,At,Attica
2246,G,GREECE
2247,Greece,Greeces
2248,At,Attica
2249,A,Aegean islands
2250,K,KAT hospital
2251,F,Fleves
2252,G,Glyfada
2253,N,Nea Makri
2254,Po,Pompeii
2255,Athens Greece,Athens Greece
2256,Mat,Mati
2257,Mat,Mati
2258,At,Attica
2259,Mat,Mati
2260,Yunani,Yunanistan
2261,At,Attica
2262,At,Attica
2263,At,Attica
2264,Greece,Greeces
2265,At,Attica
2266,Gre,Grecia
2267,O,Oven
2268,At,Attica
2269,Mat,Mati
2270,At,Attica
2271,At,Attica
2272,gree,greece
2273,at,athens
2274,At,Attica
2275,At,Attica
2276,At,Attica
2277,mat,mati
2278,Ra,Rafina
2279,Mat,Mati
2280,gree,greece
2281,Ra,Rafina
2282,Mat,Mati
2283,Mat,Mati
2284,At,Attica
2285,East Coast Attica Greece,East Coast Attica Greece
2286,Ki,Kineta
2287,gree,greece
2288,Yun,Yunanistan
2289,G,Grecia
2290,Yun,Yunanistan
2291,Pen,Penteli
2292,Mat,Mati
2293,At,Attica
2294,Ra,Rafina
2295,At,Attica
2296,At,Attiki
2297,Yun,Yunanistan
2298,gree,greece
2299,At,Attica
2300,At,Attica
2301,Greece,Greeces
2302,Mat,Mati
2303,At,Attica
2304,At,Atticas
2305,Mat,Mati
2306,Mat,Mati
2307,Greece,Greeces
2308,At,Attica
2309,Hermes Airport,Hermes Airports
2310,Greece,Greeces
2311,G,Grece
2312,Ki,Kifissia
2313,At,Attica
2314,Mat,Mati
2315,At,Attica
2316,Greece Po,Greeces Pompeii
2317,At,Attica
2318,Kara,Karamanlis
2319,Mat,Mati
2320,Mat,Mati
2321,Mat,Mati
2322,Po,Pompeii
2323,At,Attica
2324,Hal,Halkidiki
2325,At,Attica
2326,Mat,Mati
2327,At,Attica
2328,X,Xylokastro
2329,Pen,Pendeli
2330,Ka,Kalamos
2331,gree,greece
2332,East At,East Attika
2333,West At,West Attica
2334,Mat,Mati
2335,Hell,Hellas
2336,G,GREECE
2337,Mat,Mati
2338,At,Attica
2339,At,Attica
2340,At,Attica
2341,Mat,Mati
2342,At,Attica
2343,gree,greece
2344,Greece,Greeces
2345,At,Attica
2346,gree,greece
2347,G,GREECE
2348,Mat,Mati
2349,Ko,Kokkino Limanaki
2350,At,Attica
2351,A,Argyro
2352,Mat,Mati
2353,At,Attica
2354,Raa Pike,Rafina Pikermiou
2355,Greece,Greeces
2356,At,Attica
2357,Kat,Kathimerini
2358,E,EFKA
2359,g,greece
2360,G,GREECE
2361,Yun,Yunanistan
2362,Neos V,Neos Voutzas
2363,Europe,Europes
2364,At,Attica
2365,at,athens
2366,Mat,Mati
2367,G,Geraneia
2368,Mat,Mati
2369,Mat,Mati
2370,Mat,Mati
2371,At,Attica
2372,Mat,Mati
2373,UnitedK,UnitedKingdom
2374,G,GREECE
2375,Greece,Greeces
2376,Mat,Mati
2377,L,LONDON
2378,gree,greece
2379,At,Attica
2380,At,Attica
2381,At,Attica
2382,AT,ATHENS
2383,T,Thriasio hospital
2384,At,Attica
2385,Gre,Grecia
2386,E,Evia
2387,gree,greece
2388,At,Attica
2389,attic,attica
2390,at,athens
2391,Athens Greece,Athens Greece
2392,Mat,Mati
2393,At,Attica
2394,S,Syriza
2395,Greece,Greeces
2396,G,Grecia
2397,At,Attica
2398,Yun,Yunanistan
2399,At,Attica
2400,Ex,Exarchia
2401,Raa Pike,Rafina Pikermou
2402,Greece,Greeces
2403,Greece,Greeces
2404,At,Attica
2405,Greece,Greeces
2406,IT,ITALY
2407,G,GREECE
2408,At,Attica wildfires
2409,Mat,Mati
2410,Mat,Mati
2411,East At,East Attica
2412,Mat,Mati
2413,at,athens
2414,b,bahamas
2415,GE,GEORGIA
2416,kiss,kissimmee
2417,eastern Carolina,eastern Carolinas
2418,South Carol,South Carolinians
2419,Florida,Floridas Atlantic coast
2420,La,Lantana
2421,Al,Alaksa
2422,GrandB,GrandBahama
2423,FL,FLORIDA
2424,Carolina,Carolinas
2425,El,Eleuthera
2426,BA,BAHAMAS
2427,BA,BAHAMAS
2428,FL,FLORIDA
2429,A,Abacos
2430,Mar,Mar A Lago
2431,N C,N.C.
2432,Carolina,Carolinas
2433,South Carolina,South Carolinas
2434,Fort Lauderdale Hollywood,Fort Lauderdale Hollywood
2435,Indian River County,Indian River County Emergency
2436,Martin,Martin Counties
2437,fl,florida
2438,g,georgia
2439,s,sc
2440,U S,U.S.
2441,U,U.S.
2442,fl,florida-
2443,b,bahamas
2444,Miami Florida,Miami Florida
2445,Bahamas Florida,Bahamas Florida
2446,Carolina,Carolinas
2447,CO,COUNTY FLORIDA
2448,A,Abaco
2449,northcarolin,northcarolina
2450,Central,CentralFlorida
2451,fl,florida
2452,K,KSA
2453,Val,Valdosta
2454,J,JACKSONVILLE
2455,U S,U.S.
2456,eastern Carolina,eastern Carolinas
2457,V,VOLUSIA COUNTY
2458,Palm,PalmBeach
2459,Carolina,Carolinas
2460,ORLA,ORLANDO
2461,3148 S Goldenrod Rd Orlando,3148 S Goldenrod Rd Orlando
2462,Florida,Floridas
2463,Florida,Floridas
2464,Tampa,TampaBay
2465,Mar a,Mar a Largo
2466,Flag,Flagler Estates
2467,North Carol,North Carolinians
2468,A,Abaco
2469,Florida,Floridas
2470,Puerto Rico Florida,Puerto Rico Florida
2471,Florida,Floridas
2472,Vol,Volusia
2473,U S,U.S.
2474,West,WestPalmBeach
2475,Myrtle,MyrtleBeach
2476,Fayeville NC,Fayetteville NC
2477,S C,S.C.
2478,Carolina,Carolinas
2479,Great A,Great Abaco
2480,U S,U.S.
2481,fl,florida
2482,Baham,BahamaS
2483,Jacksonville Florida,Jacksonville Florida
2484,A,Abaco
2485,Atlanta,Atlanta Motor Speedway
2486,U S,U.S.
2487,fl,florida
2488,A,AbacoIsland
2489,G,Ga
2490,Marsh Harbour Bahamas,Marsh Harbour Bahamas
2491,U,U.S.
2492,Florida,Floridas
2493,BA,BAHAMAS
2494,BA,BAHAMAS
2495,North Carol,North Carolinians
2496,Florida,Floridas
2497,Swansea,Swansea Town Beach
2498,Erie County,Erie Countys
2499,Bvard Volusia County,Brevard Volusia County
2500,A,Abacos
2501,B,Broward
2502,Deer,Deerfield Beach
2503,SouthC,SouthCarolina
2504,Mira,Miramar
2505,b,bahamas
2506,Georgia,Georgias
2507,Tencar,Tencarva
2508,Martin,MartinCounty
2509,Carolina,Carolinas
2510,Carolina,Carolinas
2511,Orlando Melbourne,Orlando Melbourne
2512,A,Abaco Islands
2513,SouthCaro,SouthCarolina
2514,U S,U.S.
2515,Kennedy Space,Kennedy Space Center
2516,B,Brevard
2517,Vol,Volusia
2518,SouthC,SouthCarolina
2519,Bluff,Bluffton
2520,mi,miami
2521,jack,jacksonville
2522,at,atlanta
2523,or,orlando
2524,Carolina,Carolinas
2525,A,Abaco Islands
2526,Florida,Floridas
2527,Palm Beach,Palm Beaches
2528,BA,BAHAMA
2529,UnitedS,UnitedStates
2530,A,Abacos
2531,B,Brevard
2532,Vol,Volusia
2533,b,bahamas
2534,South Carol,South Carolinians
2535,California,Californias
2536,California,Californias
2537,CALIF,CALIFORNIA
2538,California,Californias
2539,California,Californias
2540,Cal,Cali
2541,Lo,Lodi
2542,carn,california
2543,te,texas
2544,U S,U.S.
2545,San,SanFrancisco
2546,Sierra Nevada,Sierra Nevadas
2547,W,Walmart
2548,C,Ca
2549,carn,california
2550,CALIF,CALIFORNIA
2551,California,Californias
2552,Gran,Granite Mountain Hotshots Memorial State Park
2553,j,japan
2554,U S,U.S.
2555,California,Californias
2556,L,LOS ANGELES
2557,California,Californias
2558,Co,Coffey Park
2559,SantaR,SantaRosa
2560,ca,california
2561,California,Californias
2562,Fe,Feather River Hospital
2563,Mali,Malibu
2564,California,Californias
2565,CALIF,CALIFORNIA
2566,Ka,KanyeWest
2567,Ku,Kulgam
2568,Oro,Oroville
2569,California,Californias
2570,California,Californias
2571,Sierra Nevada,Sierra Nevadas Camp
2572,California,Californias
2573,Manhattan,Manhattans
2574,ma,malibu
2575,Nor,NorCal
2576,California,Californias
2577,California,Californias
2578,Mali,Malibu
2579,California,Californias
2580,ca,california
2581,Con,Concow
2582,Mali,Malibu
2583,ca,california
2584,California,Californias
2585,California,Californias
2586,California,Californias
2587,Mali,Malibu
2588,ca,california
2589,California,Californias
2590,ca,california
2591,U S,U.S.
2592,Mid,Midtown
2593,Cal,Calif.
2594,carn,california
2595,losang,losangeles
2596,Oro,Oroville
2597,Si,SimiValley
2598,Or,Orland
2599,ca,california
2600,California,Californias
2601,Chip,Chipotle restaurant
2602,California,Californias
2603,California,Californias
2604,U S,U.S.
2605,But,Butte
2606,Park,Parkland
2607,California,California)--these
2608,California,Californias
2609,Paradise C,Paradise Ca
2610,California,Californias
2611,California,Californias
2612,San,SanFrancisco
2613,But,ButteCounty
2614,Hamilton,HamiltonCity
2615,California,Californias
2616,ca,california
2617,ca,california
2618,Santa,Santa Ana
2619,Mali,Malibu
2620,But,ButteCounty
2621,California,Californias
2622,CALIF,CALIFORNIA
2623,California,Californias
2624,California,Californias
2625,Yu,YubaCity
2626,Oro,Oroville
2627,P,Pulga
2628,California,Californias
2629,CALIF,CALIFORNIA
2630,ma,malibu
2631,Mirpur AJ,Mirpur AJK
2632,Chi,Chiterpari
2633,J,Jaltan Road
2634,AJ,AJK
2635,AJ,AJK
2636,Ko,Kort Kashmir
2637,AJ,AJK
2638,azad,azadkashmir
2639,Azad Kashmir Mir,Azad Kashmir Mirpor
2640,AJ,AJK
2641,Pakistan Kashmir,Pakistans Kashmir
2642,Mir,Mirpur
2643,Mir,Mirpur
2644,paki,pakistan
2645,Mirpur Azad Kashmir,Mirpur Azad Kashmir
2646,AJ,AJK
2647,paki,pakistan
2648,Mirpur J,Mirpur Jatlan
2649,J,Jarikas
2650,AJ,AJK
2651,AJ,AJK
2652,M,MUZAFFARABAD
2653,ISLA,ISLAMABAD
2654,A,Azad Jammu
2655,Mir,Mirpur
2656,paki,pakistan
2657,AJ,AJK
2658,Mir,MirPur
2659,paki,pakistan
2660,Mang,Mangla Dam
2661,paki,pakistan
2662,paki,pakistan
2663,Pi,Pindi Sabarwal
2664,Mir,Mirpur
2665,ka,kashmir
2666,Mir,Mirpur
2667,AJ,AJK
2668,Mir,Mirpur
2669,AJ,AJK
2670,j,jehlum canal
2671,MI,MIRPUR
2672,Mir,Mirpur
2673,Pakistan Kashmir,Pakistan Kashmir
2674,J,Jaatlaan Canal
2675,Je,Jehlum
2676,J,Jatlan
2677,ka,kashmir
2678,AJ,AJK
2679,Mir,Mirpur
2680,Mang,Mangla Dam
2681,AJ,AJK
2682,Allah Ka,Allah Karum karay
2683,A,Azad KASHMIR
2684,J,Jaatlaan
2685,J,Jaatlaan
2686,J,Jatlan
2687,Mir,Mirpur
2688,AK,AzadKashmir
2689,AJ,AJK
2690,Mir,Mirpur
2691,Islam,Islamabad
2692,A,AzadJammuKashmir
2693,paki,pakistan
2694,AJ,AJK
2695,AJ,AJK
2696,AK,AzadKashmir
2697,ka,kashmir
2698,mirp,mirpur
2699,Man,Mangla
2700,Man,Mangla dam
2701,AJ Mir,AJK Mirpur
2702,paki,pakistan
2703,AJ,AJK
2704,paki,pakistan
2705,AJ,AJK
2706,paki,pakistan
2707,Mir,MirpurAJK
2708,AJ,AJK
2709,paki,pakistan
2710,Mir,Mirpur
2711,Mirpur Azad Jammu,Mirpur Azad Jammu
2712,azadkas,azadkashmir
2713,a,azadkashmir
2714,Pakistan A,Pakistan Azad
2715,B,Bhimber
2716,Mir,Mirpur
2717,Mirpur A,Mirpur Azad Kashmir
2718,Mir,Mirpur
2719,a,azad kashmirὢ5
2720,Jat,Jatlan
2721,Man,Mangla
2722,Mirpur Jat,Mirpur Jatlan
2723,Jari,Jarikas
2724,Jat,Jatlan
2725,J,Jarikas
2726,AK,AKJ
2727,A,Azad Kashmir
2728,paki,pakistan
2729,AJ,AJK
2730,Mirpur AJ,Mirpur AJK
2731,Mirpur Azad Kashmir,Mirpur Azad Kashmir
2732,Mir,Mirpur
2733,azad,azadkashmir
2734,Mir,Mirpur
2735,AJ,AJK
2736,paki,pakistan
2737,J,Jhelum
2738,Mang,Mangla Dam
2739,mi,mirpur
2740,A,Azad Kashmir
2741,AJ,AJK
2742,AJ,AJK
2743,Mirpur A,Mirpur Ajk
2744,AJ,AJK
2745,J,Jatlan
2746,J,Jatlan
2747,K,Kharee Shrif
2748,paki,pakistan
2749,AzadK,AzadKashmir
2750,AJ,AJK
2751,Mirpur Azad ka,Mirpur Azad kashmir
2752,Mir,Mirpure
2753,A,Azad
2754,Mir,Mirpur
2755,AJ,AJK
2756,AJ,AJK
2757,ka,kashmir
2758,Mir,Mirpur
2759,AJ,AJK
2760,Mir,Mirpur
2761,AJ,AJK
2762,p,pakistan
2763,Mir,Mirpur
2764,Mir,Mirpur
2765,Jat,Jatlan
2766,AJ,AJK
2767,Jat,Jatlan
2768,Mir,MirPur
2769,AJ,AJK
2770,Islam,Islamabad
2771,Raw,Rawalpindi
2772,Si,Sialkot
2773,A,Azad Jammu and Kashmir
2774,paki,pakistan
2775,Mi,Mipur
2776,MI,MIRPUR
2777,Jat,Jatlan
2778,Mir,Mirpur
2779,AzadK,AzadKashmir
2780,I,ImranKhan
2781,Re,Rehayishmarziki
2782,go,goilaan
2783,paki,pakistan
2784,AJ,AJK
2785,paki,pakistan
2786,Mirpur Azad Kashmir,Mirpur Azad Kashmir
2787,Mir,Mirpur
2788,AJ,AJK
2789,paki,pakistan
2790,A,Azad_Kashmir
2791,AJ,AJK
2792,Mir,Mirpur
2793,AJ,AJK
2794,AJ,AJK
2795,A,Azad
2796,B,Bhimber
2797,J,Jatlan
2798,AzadK,AzadKashmir
2799,AJ,AJK
2800,Din,Dinah
2801,AJ,AJK
2802,AJ,AJK
2803,AJ,AJ&K
2804,Mirpur Mirpur,Mirpur Mirpur
2805,Islam,Islamabad
2806,Raw,Rawalpindi
2807,Pesh,Peshawar
2808,Gu,Gujrat
2809,Malaka,Malakand
2810,A,Azad Kashmir
2811,mi,mirpur
2812,AK,AzadKashmir
2813,Kara,Karamaat
2814,Mir,Mirlpur
2815,Kala G,Kala Gujran
2816,Mir,Mirpur
2817,Jat,Jatlan
2818,Jat,Jatlan
2819,Man,Mangla Road
2820,AJ,AJK
2821,J,Jatlaan
2822,a,azadkashmir
2823,Mir,Mirpur
2824,A,Ak
2825,paki,pakistan
2826,s,syria
2827,Mirpur AJ,Mirpur AJK
2828,paki,pakistan
2829,A,Azad Kashmir
2830,Mu,Muzaffarabad
2831,Man,Mangla
2832,J,Jatlan
2833,Mir,Mirpur
2834,us,usa
2835,euro,europe
2836,lo,london
2837,p,pakistan
2838,AJ,AJK
2839,mi,mirpur
2840,azadkas,azadkashmir
2841,AzadK,AzadKashmir
2842,AJ,AJK
2843,Islam,Islamabad
2844,Raw,Rawalpindi
2845,Pesh,Peshawar
2846,Mirpur Q,Mirpur Qaisar
2847,Aurang,Aurangzeb
2848,Mir,Mirpur
2849,Mir,Mirpur
2850,AJ,AJK
2851,MirpurK,MirpurAzadKashmir
2852,Dar,Darbar
2853,Mir,Mirpur
2854,Mir,Mirpur
2855,ISLA,ISLAMABAD
2856,LA,LAHORE
2857,RALP,RAWALPINDI
2858,P,PESHAWER
2859,S,SIALKOT
2860,G,GUJRAAT
2861,PA,PAKISTAN
2862,Islamabad Peshawar,Islamabad Peshawar
2863,Pakistan Kashmir,Pakistans Kashmir
2864,Man,Mangla
2865,AJ,AJK
2866,mi,mirpur
2867,mi,mirpur
2868,ka,kashmir
2869,A,Azad_Kashmir
2870,Du,Duniya kahan
2871,A,Azad Kashmir
2872,AJ,AJK
2873,paki,pakistan
2874,Mir,Mirpur
2875,J,Jatla Mirpur
2876,A,Azad
2877,mi,mirpur
2878,a,azad kashmir
2879,Mirpur,Mirpur city
2880,AJ,AJK
2881,A,Azad Jammu
2882,Mirpur A,Mirpur Azad Kashmir
2883,J,Jhelum
2884,A,Azad Kashmir
2885,Mir,Mirpur
2886,Man,Mangla dam
2887,Mir,Mirpurs
2888,Mir,Mirpur
2889,paki,pakistan
2890,paki,pakistan
2891,mirp,mirpur
2892,jhel,jhelum
2893,AJ Pakistan,AJK Pakistan
2894,Mirpur AK,Mirpur AK
2895,A,Azad_Kashmir
2896,J,Jatlan
2897,J,Jatlan
2898,BAL,BALOCHISTAN
2899,Je,Jehlum
2900,AJ Mirpur,AJK Mirpur
2901,paki,pakistan
2902,jat,jatlan
2903,Mirpur Azad Kashmir,Mirpur Azad Kashmir
2904,jat,jatlan
2905,A,Azad kashmir
2906,ka,kashmir
2907,mi,mirpur
2908,Mir,Mirpur
2909,paki,pakistan
2910,paki,pakistan
2911,AK,AzadKashmir
2912,J,Jatlan
2913,AJ,AJK
2914,J,Jatlan
2915,Mirpur A,Mirpur Azad Kashmir
2916,Mir,Mirpur
2917,Mir,Mirpur
2918,B,Bhimber
2919,j,jatlan
2920,Azadkas,Azadkashmir
2921,paki,pakistan
2922,B,Bhimber
2923,Mir,Mirpur
2924,mirp,mirpur
2925,Jat,Jatlan
2926,Mir,Mirpur
2927,A,Azad Jammu and Kashmir
2928,Mir,Mirpur
2929,Islam,Islamabad
2930,J,Jatllan
2931,AJ,AJK
2932,Man,Mangla Dam
2933,paki,pakistan
2934,Raw,Rawalpindi
2935,G,Gujar Khan
2936,J,Jhelum
2937,paki,pakistan
2938,Chi,Chitterpari
2939,A,Azad Jammu
2940,Mir,Mirpur
2941,J,Jatlan
2942,Jari,Jarikas
2943,Man,Mangla Dam
2944,A,Azad Jammu
2945,Sara,SaraiAlamgir
2946,K,Kharian
2947,G,Gujrat
2948,Mir,Mirpur
2949,mi,mirpurazadkashmir
2950,j,jhelum
2951,j,jatlan
2952,Ko,Kotli
2953,AJ,AJK
2954,Mir,Mirpur
2955,B,Bhimber
2956,AJ,AJK
2957,AJ,AJK
2958,j,jatlan
2959,AJ,AJK
2960,Ko,Kotli
2961,AJ,AJK
2962,Islam,Islamabad
2963,AJ,AJK
2964,ka,kashmir
2965,ka,kashmir
2966,AJ,AJK
2967,paki,pakistan
2968,A,Azad Kashmir
2969,azad ka,azad kashmir
2970,A,Azad Jammu
2971,Khy,Khyber Pakhtunkhwa
2972,Mir,Mirpur
2973,AK,AzadKashmir
2974,AJ,AJK
2975,paki,pakistan
2976,A,Azad Kashmir
2977,ka,kashmir
2978,akas,azadkashmir
2979,mi,mirpur
2980,Jat,Jatlan
2981,K,Khari
2982,AzadK,AzadKashmir
2983,paki,pakistan
2984,paki,pakistan
2985,Mirpur AJ,Mirpur AJK
2986,SaraiA,SaraiAlamgir
2987,K,Kharian
2988,G,Gujrat
2989,Mir,Mirpur
2990,mirp,mirpur
2991,j,jehlum
2992,azad,azadkashmir
2993,Mirpur A,Mirpur Azad Kashmir
2994,Islam,Islambad
2995,Mir,Mirpur
2996,A,AzadKashmir
2997,AJ,AJK
2998,AJ,AJK
2999,paki,pakistan
3000,Mir,Mirpur
3001,Mirpur Azad Kashmir,Mirpur Azad Kashmir
3002,paki,pakistan
3003,ka,kashmir
3004,A,Azad
3005,Bhim,Bhimber
3006,A,Azad Kashmir
3007,paki,pakistan
3008,Mir,Mirpur
3009,J,Jatlan
3010,azadkas,azadkashmir
3011,Mir,Mirpur
3012,Mir,Mirpur
3013,AJ,AJK
3014,Man,Mangla Dam
3015,J,Jatlaan
3016,AJ,AJK
3017,Je,Jehlum
3018,Azad Kashmir Pakistan,Azad Kashmir Pakistan
3019,mi,mirpur
3020,A,Azad
3021,paki,pakistan
3022,A,Azad Jammu
3023,paki,pakistan
3024,p,pakistan
3025,a,azadkashmir
3026,paki,pakistan
3027,AJ,AJK
3028,AJ,AJK
3029,A,Azad #Kashmir
3030,paki,pakistan
3031,ka,kashmir
3032,AJ,AJK
3033,Mirpur A,Mirpur Azaad Kashmir
3034,J,Jatlan
3035,AK,AzadKashmir
3036,j,jehlum
3037,Su,Sumter
3038,Haiti,Haitis
3039,ha,haiti
3040,ha,haiti
3041,ha,haiti
3042,Je,Jeremie
3043,Guad,Guadeloupe
3044,ha,haiti
3045,U S,U.S.
3046,Haiti,Haitis
3047,MI,MIAMI
3048,ha,haiti
3049,jack,jacksonville
3050,ha,haiti
3051,SouthCaro,SouthCarolina
3052,Haiti,Haitis
3053,U,U.S
3054,Wail,Wailuku
3055,H,HAITI
3056,Jamaica Haiti,Jamaica Haiti
3057,U S,U.S.
3058,H,HAITI
3059,City of Jeie Haiti,City of Jeremie Haiti
3060,Haiti,Haitis
3061,Bahamas Chicago,Bahamas Chicago
3062,Je,Jeremie
3063,ha,haiti
3064,Cuba,Cuba-
3065,U S,U.S.
3066,Haiti,Haitis
3067,Haiti,Haitis
3068,Florida,Floridas eastern
3069,Les C,Les Cayes
3070,j,japan
3071,Silicon,Silicon Valley
3072,ha,haiti
3073,H,HAITI
3074,HA,HAITI
3075,cu,cuba
3076,ha,haiti
3077,H,HAITI
3078,Haiti,Haitis
3079,H,HAITI
3080,H,HAITI
3081,Les C,Les Cayes
3082,U S,U.S.
3083,Sara,Sarasota
3084,Grand - duc - C,Grand-duc-Cavailon
3085,us,usa
3086,mi,miami
3087,U S,U.S.
3088,ha,haiti
3089,P,PORT-AU-PRINCE
3090,IS,ISRAEL
3091,U S,U.S.
3092,U S,U.S.
3093,Free,Freeport
3094,Cuba Haiti,Cuba Haiti
3095,Baham,Bahamians
3096,H,HAITI
3097,H,HAITI
3098,Rat,Rathmalana
3099,srilan,srilanka
3100,srilan,srilanka
3101,sril,srilanka
3102,Srilank,Srilanka
3103,sril,srilanka
3104,SriL,SriLankan
3105,par,paris
3106,Mal,Maldives
3107,Mal,Maldives
3108,Rathnap,Rathnapura
3109,El,Elapatha
3110,sril,srilanka
3111,sril,srilanka
3112,srilan,srilanka
3113,SriL,SriLanka
3114,Matara Sri Lanka,Matara Sri Lanka
3115,Bat,Battaramulla
3116,SriL,SriLanak
3117,Sri la,Sri lanka
3118,Ka,Kaduwela
3119,China,Chinas
3120,Srilank,Srilanka
3121,Mahara,Maharagama
3122,E,Eheliyagoda
3123,Bamba,Bambalapitiya
3124,Ko,Kollupitiya
3125,sril,srilanka
3126,Sri,Srilankans
3127,srilan,srilanka
3128,srilan,srilanka
3129,sril,srilanka
3130,sril,srilanka
3131,Mill,Millaniya
3132,SriL,SriLankas
3133,SriL,SriLank
3134,sril,srilanka
3135,srilan,srilanka
3136,Sri Lankan,Sri Lankans
3137,sril,srilanka
3138,Colombo,Colombo Port City
3139,srilan,srilanka
3140,Ya,Yatagampitiya
3141,srilan,srilanka
3142,srilan,srilanka
3143,SriL,SriLanka
3144,sril,srilanka
3145,sril,srilanka
3146,srilan,srilanka
3147,A,Ayagama
3148,SriL,SriLanka
3149,sril,srilanka
3150,sril,srilanka
3151,srilan,srilanka
3152,sril,srilanka
3153,A,Akuressa
3154,sril,srilanka
3155,A,Ayagama
3156,sril,srilanka
3157,sril,srilanka
3158,Sri Lanka,Sri Lankas
3159,Nel,Neluwa
3160,Han,Hanwella
3161,sril,srilanka
3162,Sri Lanka,Sri Lankas
3163,Sri Lanka,Sri Lankas
3164,srilan,srilanka
3165,Pa,Pahiyangala
3166,Bula,Bulathsinhala
3167,d,dnkoluwaththa
3168,Pit,Pitabaddra
3169,sril,srilanka
3170,sril,srilanka
3171,J,Jaffna
3172,Math,Mathugama
3173,El,Elapatha
3174,SriL,SriLankan
3175,Cho,Choluteca
3176,sril,srilanka
3177,Srilank,Srilanka
3178,G,Galle
3179,Bad,Baddegama
3180,sril,srilanka
3181,B,Bulathsinhala
